stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
41.930227,,-71.423273,024690,,,,MENDON NS MARTIN,0,
41.437288,,-71.501033,000310,,,,MAIN AT 399 MAIN,0,
41.920471,,-71.408738,056130,,,,MENDON FS MARSHALL,0,
41.92199,,-71.410403,056135,,,,MENDON OPP 300 MENDON,0,
41.746041,,-71.405843,058235,,,,WARWICK NS DAWSON,0,
41.910292,,-71.395007,024455,,,,BROAD NS FOREST,0,
41.909893,,-71.394671,024450,,,,BROAD AT 389 BROAD,0,
41.469948,,-71.299707,000790,,,,OCHRE POINT NS VICTORIA,0,
41.937684,,-71.47835,058945,,,,LINCOLN MALL AT TARGET,0,
41.827802,,-71.374717,017035,,,,MASSASOIT FS WOODWARD,0,
41.77822,,-71.400369,010700,,,,BROAD FS NORWOOD,0,
41.723149,,-71.26955,007115,,,,METACOM OPP BEE JAY,0,
41.817044,,-71.42779,014725,,,,WESTMINSTER NS BRIDGHAM,0,
41.710519,,-71.425012,006040,,,,STRAWBERRY FIELD NS ENDICOTT,0,
41.764708,,-71.360851,055800,,,,BULLOCKS POINT NS RIVER,0,
41.845893,,-71.387265,060025,,,,BLACKSTONE NS ROCHAMBEAU,0,
41.775474,,-71.363246,055805,,,,BULLOCKS POINT AT 110 BULLOCKS PT,0,
41.820704,,-71.500056,060020,,,,ATWOOD AVE STOP & SHOP,0,
41.780763,,-71.473959,071115,,,,PHENIX OPP PRESTON,0,
41.816051,,-71.424045,014605,,,,CRANSTON NS THOMAS P WHITEN WAY,0,
41.596872,,-71.251729,003145,,,,E MAIN AT RITE AID,0,
41.816458,,-71.346487,014600,,,,COMMERCIAL WAY AT 60 COMMERCIAL WAY,0,
41.784574,,-71.457126,011185,,,,DYER FS POCASSET VILLAGE,0,
41.888024,,-71.353617,057660,,,,CENTRAL FS NEWPORT,0,
41.891425,,-71.344334,057665,,,,BRADLEY NS BENEFIT,0,
41.828184,,-71.46177,017005,,,,MANTON AT 652 MANTON,0,
41.488671,,-71.311134,001315,,,,TOURO NS HIGH,0,
41.75764,,-71.445458,009130,,,,PONTIAC AT 995 PONTIAC,0,
41.698347,,-71.462507,005160,,,,CENTERVILLE RD AT BURGER KING,0,
41.818008,,-71.43657,014930,,,,BROADWAY FS BARTON,0,
41.813617,,-71.44819,014285,,,,POCASSET FS PLAINFIELD,0,
41.817971,,-71.455281,014935,,,,HARTFORD OPP LAUREL HILL,0,
41.699134,,-71.279608,005165,,,,HOPE OPP JEFFERSON,0,
41.841651,,-71.453265,018920,,,,COLLEGE NS MT PLEASANT,0,
41.833088,,-71.46161,017910,,,,CHALKSTONE FS OBADIAH BROWN,0,
41.70137,,-71.527613,070180,,,,WASHINGTON AT 203 WASHINGTON,0,
41.774401,,-71.450366,010415,,,,RESERVOIR AT 1001 RESERVOIR,0,
41.494793,,-71.437764,001455,,,,BOSTON NECK OPP EDGEWATER,0,
42.001143,,-71.515817,055930,,,,MAIN BETWEEN ASCENSION & ARNOLD,0,
41.709979,,-71.491094,070185,,,,TOLLGATE FS BALD HILL,0,
41.796294,,-71.482183,055240,,,,PLAINFIELD OPP CLEMENCE,0,
41.772516,,-71.395991,010145,,,,BROAD NS ROSEWOOD,0,
41.79339,,-71.404099,011945,,,,EDDY NS JOHNSON,0,
41.857529,,-71.421325,028620,,,,CHARLES BETWEEN SMART & DOROTHY,0,
41.84839,,-71.438948,056595,,,,RIVER NS ADMIRAL,0,
41.837758,,-71.40066,018455,,,,HOPE FS HOWELL,0,
41.8447,,-71.433022,056590,,,,HUXLEY OPP VENTURA,0,
41.789266,,-71.430208,011540,,,,RESERVOIR OPP ROGER WILLIAMS,0,
